Title	Author	Rating	Reviews	Genres	NetGalley	GoodReads
Vengeful	V.E. Schwab	4.11	133764	Fantasy, Science Fiction, Fiction, Adult, Dark Academia, Urban Fantasy, Audiobook	https://www.netgalley.com/catalog/book/146576	https://www.goodreads.com/book/show/26856502-vengeful?from_search=true&from_srp=true&qid=vwtNzF2gBX&rank=1
Kissed by the Gods (Standard Edition)	Caty Rogan	4.36	15034	Fantasy, Romantasy, Romance, Fantasy Romance, Magic, Gods, Enemies To Lovers	https://www.netgalley.com/catalog/book/817187	https://www.goodreads.com/book/show/243772778-kissed-by-the-gods?from_search=true&from_srp=true&qid=Z0BEWP5IYU&rank=1
The End Crowns All (Deluxe Edition)	Bea Fitzgerald	4.04	2535	Fantasy, Mythology, Lesbian, Queer, Greek Mythology, Romance, LGBT	https://www.netgalley.com/catalog/book/802247	https://www.goodreads.com/book/show/244182902-the-end-crowns-all?from_search=true&from_srp=true&qid=b9CY9Yf7K7&rank=1
Blood Bound	Ellis Hunter	4.24	2337	Fantasy, Romantasy, Dragons, Romance, Fantasy Romance, Witches, Adult	https://www.netgalley.com/catalog/book/714305	https://www.goodreads.com/book/show/241908745-blood-bound?from_search=true&from_srp=true&qid=3tYmJz3YfD&rank=1
A Parade of Horribles	Matt Dinniman	4.68	1245	Fantasy, Science Fiction, Fiction, Audiobook, Humor, Dystopia, Adult	https://www.netgalley.com/catalog/book/800733	https://www.goodreads.com/book/show/228928465-a-parade-of-horribles?from_search=true&from_srp=true&qid=bRai7vIRSQ&rank=1
The Shadows That Listen	Louisa Carmody	4.23	1280	Fantasy, Romantasy, Dystopia, Romance, Angels, Adult, Urban Fantasy	https://www.netgalley.com/catalog/book/797780	https://www.goodreads.com/book/show/240388251-the-shadows-that-listen?from_search=true&from_srp=true&qid=JEGQHxnaGu&rank=1
Fated to the Sun and Stars	Zara Storm	4.11	1157	Fantasy, Romantasy, Fae, Romance, Enemies To Lovers, Dark Romance, Dark	https://www.netgalley.com/catalog/book/834593	https://www.goodreads.com/book/show/225675029-curse-of-the-sun-and-stars?from_search=true&from_srp=true&qid=yfqE1oD7tl&rank=1
Seek the Traitor's Son	Veronica Roth	4.37	684	Fantasy, Romance, Dystopia, Romantasy, Science Fiction, Audiobook, Adult	https://www.netgalley.com/catalog/book/719851	https://www.goodreads.com/book/show/240019870-seek-the-traitor-s-son?from_search=true&from_srp=true&qid=msfgGBYmkQ&rank=1
Hopeless Necromantic	Shiloh Briar	4.47	600	Fantasy, Romance, Romantasy, Adult, Fiction, Fantasy Romance, Slow Burn	https://www.netgalley.com/catalog/book/757295	https://www.goodreads.com/book/show/240239310-hopeless-necromantic?from_search=true&from_srp=true&qid=Viz6oOtYRQ&rank=1
Witch Hat Atelier: Grimoire Edition 1	Kamome Shirahama	4.7	298	Manga, Fantasy, Comics, Seinen, Magic, Graphic Novels	https://www.netgalley.com/catalog/book/833766	https://www.goodreads.com/book/show/250509272-atelier-of-witch-hat-grimoire-edition-vol-1?from_search=true&from_srp=true&qid=f1fNjuskGv&rank=1
Vicious	V.E. Schwab	4.33	321	Fantasy, Audiobook, Science Fiction Fantasy, Science Fiction, Fiction	https://www.netgalley.com/catalog/book/136305	https://www.goodreads.com/book/show/29857077-darker-shade-of-magic-a-gathering-of-shadows-vicious?from_search=true&from_srp=true&qid=RqzDcmDq9q&rank=1
The Unicorn Hunters	Katherine Arden	4.27	306	Fantasy, Historical Fiction, Historical, Historical Fantasy, Adult, Fiction, Science Fiction Fantasy	https://www.netgalley.com/catalog/book/800284	https://www.goodreads.com/book/show/241125269-the-unicorn-hunters?from_search=true&from_srp=true&qid=eBq5Pg3gSI&rank=1
A Forsaken Prophecy	Stacey McEwan	4.6	272	Fantasy, Romantasy, Romance, Fantasy Romance, Adult, Fiction, Magic	https://www.netgalley.com/catalog/book/784695	https://www.goodreads.com/book/show/240266768-a-forsaken-prophecy?from_search=true&from_srp=true&qid=y2YQ0hkReb&rank=1
This Wretched Alchemy	Tina Mars	4.18	257	Fantasy, Romantasy, Romance, Fantasy Romance, Fiction, Magic, Enemies To Lovers	https://www.netgalley.com/catalog/book/793654	https://www.goodreads.com/book/show/244947419-this-wretched-alchemy?from_search=true&from_srp=true&qid=ECnxqfJTXE&rank=1
Victorious	V.E. Schwab	4.42	243	Fantasy, Science Fiction, Adult, Fiction, Dark Academia, Urban Fantasy, Paranormal	https://www.netgalley.com/catalog/book/805529	https://www.goodreads.com/book/show/44232064-victorious?from_search=true&from_srp=true&qid=uVSk4Og5V4&rank=1
A Trade of Blood	Robert Jackson Bennett	4.64	215	Fantasy, Mystery, Fiction, Adult, Mystery Thriller, Thriller, Queer	https://www.netgalley.com/catalog/book/811491	https://www.goodreads.com/book/show/102615935-a-trade-of-blood?from_search=true&from_srp=true&qid=K6m3T8elHT&rank=1
Devour Me	Emily Rath	4.29	215	Fantasy, Romance, Why Choose, Paranormal, Paranormal Romance, Dark Romance, Queer	https://www.netgalley.com/catalog/book/817988	https://www.goodreads.com/book/show/243607200-devour-me?from_search=true&from_srp=true&qid=Fj1L7UpdCO&rank=1
I Hope This Email Finds You in Hell	Mackenzie Reed	4.11	187	Romance, Paranormal, Fantasy, Paranormal Romance, Fiction, Contemporary, Urban Fantasy	https://www.netgalley.com/catalog/book/803510	https://www.goodreads.com/book/show/244709974-i-hope-this-email-finds-you-in-hell?from_search=true&from_srp=true&qid=9H2gEANo5m&rank=1
Verity Guild	Mai Corland	4.48	160	Fantasy, Romantasy, Romance, Adult, Fantasy Romance, Fiction, Historical Fiction	https://www.netgalley.com/catalog/book/790177	https://www.goodreads.com/book/show/238743626-verity-guild?from_search=true&from_srp=true&qid=QWfv0k2CbW&rank=1
Labyrinthine	C.J. Holmes	4.27	161	Romantasy, Fantasy, Dark	https://www.netgalley.com/catalog/book/830423	https://www.goodreads.com/book/show/250150960-labyrinthine?from_search=true&from_srp=true&qid=CnrZ69IbSC&rank=1
Scion	James Islington	4.17	150	Science Fiction, Fantasy, Fiction, Adult, Cyberpunk, Science Fiction Fantasy, Dystopia	https://www.netgalley.com/catalog/book/809411	https://www.goodreads.com/book/show/247756858-scion?from_search=true&from_srp=true&qid=KvRoGaXTun&rank=1
A Fated Reckoning	Jamye Smith	4.07	152	Fantasy, Fae, Romantasy, Second Chance, Fantasy Romance, Vampires, Romance	https://www.netgalley.com/catalog/book/823374	https://www.goodreads.com/book/show/231518296-a-fated-reckoning?from_search=true&from_srp=true&qid=VEUwmVKhZ3&rank=1
Turncloak	L.K. Steven	4.65	130	Fantasy, Romantasy, Romance, Fantasy Romance, Adult, Magic, Enemies To Lovers, High Fantasy, Fiction, ...show all	https://www.netgalley.com/catalog/book/815419	https://www.goodreads.com/book/show/245316424-turncloak?from_search=true&from_srp=true&qid=pCuvAgEaCu&rank=1
Daggerbound	T. Kingfisher	4.55	127	Fantasy, Romance, Romantasy, Adult, Fiction, Cozy, Fantasy Romance	https://www.netgalley.com/catalog/book/736597	https://www.goodreads.com/book/show/240019838-daggerbound?from_search=true&from_srp=true&qid=NWqNRvRcyF&rank=1
Rider of Dragons	Aamna Qureshi	4.01	112	Fantasy, Dragons, Romantasy, Adult, Romance, Audiobook, Adult Fiction	https://www.netgalley.com/catalog/book/832765	https://www.goodreads.com/book/show/242061856-rider-of-dragons?from_search=true&from_srp=true&qid=7TRouiK9fB&rank=1
The Fae Guardian	Elle Thrasher	4.23	105	Romance, Romantasy, Fantasy	https://www.netgalley.com/catalog/book/826859	https://www.goodreads.com/book/show/244579229-the-fae-guardian?from_search=true&from_srp=true&qid=Kgv80diuVx&rank=1
Under Story	Chloe Benjamin	4.17	106	Science Fiction, Fiction, Adult, Romance, Literary Fiction, Science Fiction Fantasy, Speculative Fiction	https://www.netgalley.com/catalog/book/783992	https://www.goodreads.com/book/show/242074880-under-story?from_search=true&from_srp=true&qid=DNGA91tKKw&rank=1
Wings of Life	Meghan Le Fay	4.01	90	Fantasy, Romantasy, Romance, Dragons, Enemies To Lovers, Fantasy Romance, Magic	https://www.netgalley.com/catalog/book/804932	https://www.goodreads.com/book/show/242978150-wings-of-life?from_search=true&from_srp=true&qid=9xtsh5AyEM&rank=1
This Shattered Tempest (Deluxe Limited Edition)	Thea Guanzon	4.83	70	Fantasy, Romantasy, Romance, Adult, Fiction, Fantasy Romance, Science Fiction Fantasy	https://www.netgalley.com/catalog/book/825378	https://www.goodreads.com/book/show/249334855-this-shattered-tempest?from_search=true&from_srp=true&qid=3jhEaWp1eI&rank=1
Sinister	Veronica Lancet	4.62	69	Dark Romance, Dark Academia, Gothic, Romance, Romantasy, Gothic Romance, Academia	https://www.netgalley.com/catalog/book/828947	https://www.goodreads.com/book/show/246819974-sinister?from_search=true&from_srp=true&qid=gbFQQYwSlG&rank=1
The Wretched Divine	Adalyn Grace	4.57	65	Fantasy, Romantasy, Romance, Adult, Fantasy Romance, Demons, High Fantasy	https://www.netgalley.com/catalog/book/802081	https://www.goodreads.com/book/show/243263467-the-wretched-divine?from_search=true&from_srp=true&qid=biEBizuQXt&rank=1
Captive Traitor King (Deluxe Limited Edition)	Brigid Kemmerer	4.39	67	Fantasy, Romantasy, Romance, Adult, Fantasy Romance, Magic, Why Choose	https://www.netgalley.com/catalog/book/814238	https://www.goodreads.com/book/show/247546601-captive-traitor-king?from_search=true&from_srp=true&qid=ofXRgoS8wF&rank=1
The Lion & the Deathless Dark	Carissa Broadbent	4.21	67	Fantasy, Romantasy, Vampires, Romance, Fantasy Romance, Adult, Fiction	https://www.netgalley.com/catalog/book/808633	https://www.goodreads.com/book/show/239937277-the-lion-and-the-deathless-dark?from_search=true&from_srp=true&qid=XYZiCIxqPV&rank=1
Paper Ghosts	Sarah Addison Allen	4.04	67		https://www.netgalley.com/catalog/book/799272	https://www.goodreads.com/book/show/244947598-paper-ghosts?from_search=true&from_srp=true&qid=AoCRmxQacK&rank=1
Cursed City	Kate Golden	4.84	50	Fantasy, Romantasy, Urban Fantasy, Romance, Adult, Fantasy Romance, Demons	https://www.netgalley.com/catalog/book/793414	https://www.goodreads.com/book/show/243175083-cursed-city?from_search=true&from_srp=true&qid=A0Lr9IRjKb&rank=1
(Mostly) Human Resources	Grace Viall	4.13	54	Fantasy, Paranormal, Romance, Fiction	https://www.netgalley.com/catalog/book/829480	https://www.goodreads.com/book/show/245081470-mostly-human-resources?from_search=true&from_srp=true&qid=U25ZLQbCc1&rank=1
Kissed by Iron and Glass	E.V. Everest	4.38	50	Fantasy, Romance, Retellings, Romantasy	https://www.netgalley.com/catalog/book/829479	https://www.goodreads.com/book/show/250419411-kissed-by-iron-and-glass?from_search=true&from_srp=true&qid=7Pi4Apc7lP&rank=1
Tales from the Territory	Travis Baldree	4.46	48	Fantasy, Cozy Fantasy, Short Stories, Fiction, Cozy, Adult Fiction, Adult	https://www.netgalley.com/catalog/book/826893	https://www.goodreads.com/book/show/246768867-tales-from-the-territory?from_search=true&from_srp=true&qid=76lHl6l6hM&rank=1
The Forest Bleeds	Rachel Kitch	4.58	40	Horror, Lesbian, Fantasy, Adult, Queer, Fiction, LGBT	https://www.netgalley.com/catalog/book/810863	https://www.goodreads.com/book/show/247476695-the-forest-bleeds?from_search=true&from_srp=true&qid=wrh1DgHEkM&rank=1
Nobody's Quest	Alyssa Day	4.76	38	Fantasy, Romantasy, Romance, Fantasy Romance, Adult, Adult Fiction	https://www.netgalley.com/catalog/book/808240	https://www.goodreads.com/book/show/241075842-nobody-s-quest?from_search=true&from_srp=true&qid=jYGuF2HEOI&rank=1
With All My Haunted Heart	Isabel Sterling	4.17	42	Romance, Lesbian, Queer, Fantasy, Paranormal, LGBT, Adult	https://www.netgalley.com/catalog/book/796131	https://www.goodreads.com/book/show/244969603-with-all-my-haunted-heart?from_search=true&from_srp=true&qid=MA9Df8yKEq&rank=1
Til Quest Do Us Part	Ivelisse Housman	4.26	31	Fantasy, Romance, Romantasy, Adult, Fiction, Fantasy Romance, Friends To Lovers	https://www.netgalley.com/catalog/book/826252	https://www.goodreads.com/book/show/249208344-til-quest-do-us-part?from_search=true&from_srp=true&qid=RtH1nV6L7Z&rank=1
The Memory of Borrowed Books	Meg Anderson	4.71	28	Fantasy, Books About Books, Magical Realism, Fiction, Mystery, Science Fiction Fantasy	https://www.netgalley.com/catalog/book/792543	https://www.goodreads.com/book/show/245424123-the-memory-of-borrowed-books?from_search=true&from_srp=true&qid=LbpUQINPMR&rank=1
Embers of Analon	Paul Michael Winters	4.81	16	Queer, Fantasy, Romance, LGBT, Romantasy, Adult, Gay	https://www.netgalley.com/catalog/book/827788	https://www.goodreads.com/book/show/250896842-embers-of-analon?from_search=true&from_srp=true&qid=Hqmpxbor2L&rank=1
The Spark & the Star	Tess Hunter	4.22	18		https://www.netgalley.com/catalog/book/830412	https://www.goodreads.com/book/show/250330384-the-spark-the-star?from_search=true&from_srp=true&qid=rB2TJVlYxM&rank=1
Call Me Traitor	Everina Maxwell	4.57	14	Fantasy, Romance, Queer, LGBT, Adult, Lesbian, Fiction	https://www.netgalley.com/catalog/book/802097	https://www.goodreads.com/book/show/244947395-call-me-traitor?from_search=true&from_srp=true&qid=YcnjH37fcw&rank=1
Harbour of Hungry Ghosts	Eliza Chan	4.91	11	Fantasy, Adult, Historical, Historical Fiction	https://www.netgalley.com/catalog/book/813709	https://www.goodreads.com/book/show/243547557-harbour-of-hungry-ghosts?from_search=true&from_srp=true&qid=xEs1SbXv6J&rank=1
The Secret Library	Amanda James	4.15	13		https://www.netgalley.com/catalog/book/788305	https://www.goodreads.com/book/show/241804451-the-secret-library?from_search=true&from_srp=true&qid=eKlXMff8Gn&rank=1
A Snake Among Swans	Hannah Kaner	4.64	11	Fantasy, Adult, Lesbian, Queer, LGBT, Romantasy, Epic Fantasy	https://www.netgalley.com/catalog/book/828674	https://www.goodreads.com/book/show/250046850-a-snake-among-swans?from_search=true&from_srp=true&qid=UQbjoCTMwN&rank=1
Thoughts Be Bloody	Auden Patrick	4.4	10	Fantasy, Queer, Dark Academia, Retellings, LGBT, Horror, Fiction	https://www.netgalley.com/catalog/book/830421	https://www.goodreads.com/book/show/237134610-thoughts-be-bloody?from_search=true&from_srp=true&qid=nJWJed0te3&rank=1
The Witch Below the Dreaming Wood	H. G. Parry	4.44	9	Fantasy, Historical Fiction, Historical Fantasy, Adult, Mythology, Historical, Arthurian	https://www.netgalley.com/catalog/book/780695	https://www.goodreads.com/book/show/241087291-the-witch-below-the-dreaming-wood?from_search=true&from_srp=true&qid=9QikKQc2CJ&rank=1
The Dungeon Book	Gareth Hanrahan	4.5	8	Fantasy, Fiction	https://www.netgalley.com/catalog/book/829547	https://www.goodreads.com/book/show/242318686-the-dungeon-book?from_search=true&from_srp=true&qid=pFveiZMae8&rank=1
Galinda (Deluxe Limited Edition)	Gregory Maguire	4.17	6	Fantasy, Fiction, Adult	https://www.netgalley.com/catalog/book/829560	https://www.goodreads.com/book/show/244215045-galinda?from_search=true&from_srp=true&qid=VLnNriyC6L&rank=1
A Fable for Hollow Creatures	R.R. Schaeffer	5.0	5	Fantasy	https://www.netgalley.com/catalog/book/821347	https://www.goodreads.com/book/show/247204166-a-fable-for-hollow-creatures?from_search=true&from_srp=true&qid=x2ZLCWiJ7o&rank=1
As You Wake, Break the Shell	Becky Chambers	5.0	5	Science Fiction, Adult, Fiction, Queer, LGBT, Lesbian, Science Fiction Fantasy	https://www.netgalley.com/catalog/book/819490	https://www.goodreads.com/book/show/246522091-as-you-wake-break-the-shell?from_search=true&from_srp=true&qid=p2wY6WJPYz&rank=1
Strangebrew Apothecary	Rustin Lovewell	5.0	5	Fantasy	https://www.netgalley.com/catalog/book/828682	https://www.goodreads.com/book/show/245235512-strangebrew-apothecary?from_search=true&from_srp=true&qid=opzIvYU3cJ&rank=1
Kieran	N.J. Walters	4.5	4		https://www.netgalley.com/catalog/book/831356	https://www.goodreads.com/book/show/250590140-kieran?from_search=true&from_srp=true&qid=ibc6Jj6laI&rank=1
Heartsworn	S.E. Wendel	5.0	2		https://www.netgalley.com/catalog/book/828666	https://www.goodreads.com/book/show/247923086-heartsworn?from_search=true&from_srp=true&qid=AWY504lvRV&rank=1
Fabrications	Zachary Mason	5.0	2	Short Stories	https://www.netgalley.com/catalog/book/832163	https://www.goodreads.com/book/show/247915737-fabrications?from_search=true&from_srp=true&qid=N6WFO2oc59&rank=1
The Gates of Midnight	Helene Wecker	4.5	2	Fantasy, Historical Fiction	https://www.netgalley.com/catalog/book/832221	https://www.goodreads.com/book/show/245290959-the-gates-of-midnight?from_search=true&from_srp=true&qid=ab4aM66hTY&rank=1
The Haunted Librarian	Auralee Wallace	4.0	1	Fantasy, Halloween, Paranormal, Cozy, Mystery, Cozy Mystery, Mystery Thriller	https://www.netgalley.com/catalog/book/828519	https://www.goodreads.com/book/show/246254448-the-haunted-librarian?from_search=true&from_srp=true&qid=xWiPgAWWcR&rank=1
